adLibraryDate,pageId,pageName,pageAlias,pageVerification,likes,pageCategory,pageNameChanges,pageAdminCountries,isProfilePage,pageURL,entityType,stateMediaLabel,igUsername,igFollowers,igVerification,hiddenAds,pageIsDeleted,pageCreationDate,profileCreationDate,currentWeek,isPoliticalPage,weeklyByDisclaimer,lifetimeByDisclaimer,hasPoliticalSpendInAnyCountry
2020-06-14,108022910747221,Sarangly,saranglysg,not_verified,246,Gift shop,0,,False,https://mtouch.facebook.com/nt/screen/?params=%7B%22page_id%22%3A108022910747221%7D&path=%2Fpages%2Ftransparency,regular_page,,sarangly.ig,347,False,0,False,2020-01-23,,,True,"{""Sarangly"": 1}",{},False
2020-06-14,109372984090446,Happy Kopitiam 阿乐咖啡店,OurHappyKopitiam,not_verified,3934,Digital creator,0,Singapore (6),False,https://mtouch.facebook.com/nt/screen/?params=%7B%22page_id%22%3A109372984090446%7D&path=%2Fpages%2Ftransparency,regular_page,,ourhappykopitiam,256,False,0,False,2020-04-27,,,True,"{""Yew Tee Grassroots Organisation"": 793}","{""Yew Tee Grassroots Organisation"": 2795}",True
2020-06-14,109555293685,Gov.sg,gov.sg,blue_verified,376743,Government Website,1,"Singapore (58), India (7), Hong Kong (1), Malaysia (1), Philippines (1)",False,https://mtouch.facebook.com/nt/screen/?params=%7B%22page_id%22%3A109555293685%7D&path=%2Fpages%2Ftransparency,regular_page,,gov.sg,93452,True,0,False,2009-07-24,,,True,"{""Gov.sg"": 12}","{""Gov.sg"": 4012, """": 10835}",True
2020-06-14,113017006084973,EDUdebt MobileTeam,EdudebtMOBILETEAM,not_verified,1188,Financial aid service,2,Singapore (8),False,https://mtouch.facebook.com/nt/screen/?params=%7B%22page_id%22%3A113017006084973%7D&path=%2Fpages%2Ftransparency,regular_page,,latiifadnan,193,False,0,False,2017-08-28,,,True,"{""Edudebt"": 34}","{""Edudebt"": 34}",True
2020-06-14,1283113561798446,Green Transition,KaiaSEA,not_verified,104,"Science, technology and engineering",0,,False,https://mtouch.facebook.com/nt/screen/?params=%7B%22page_id%22%3A1283113561798446%7D&path=%2Fpages%2Ftransparency,regular_page,,kaia_sea,138,False,0,False,2017-10-18,,,True,"{""Jeevan Kularetnam"": 5}","{""Jeevan Kularetnam"": 5}",True
2020-06-14,136176823413276,Eco-Business,EcoBusinessMedia,not_verified,8928,Media/news company,0,"Singapore (12), Philippines (2), Netherlands (1)",False,https://mtouch.facebook.com/nt/screen/?params=%7B%22page_id%22%3A136176823413276%7D&path=%2Fpages%2Ftransparency,regular_page,,ecobusinesscom,2098,False,0,False,2015-11-25,,,True,"{""Eco-Business"": 30}","{""Eco-Business"": 2056}",True
2020-06-14,1420540594833950,National Environment Agency (NEA),NEASingapore,blue_verified,124778,Public & government service,1,Singapore (12),False,https://mtouch.facebook.com/nt/screen/?params=%7B%22page_id%22%3A1420540594833950%7D&path=%2Fpages%2Ftransparency,regular_page,,nea_sg,12620,False,0,False,2013-09-19,,,True,"{""Foo Yu Ting"": 140}","{""Foo Yu Ting"": 140}",True
2020-06-14,1468082613467781,Nee Soon Town Council,neesoon.tc,not_verified,20244,Community organisation,1,Singapore (9),False,https://mtouch.facebook.com/nt/screen/?params=%7B%22page_id%22%3A1468082613467781%7D&path=%2Fpages%2Ftransparency,regular_page,,neesoontc,1979,False,0,False,2013-03-15,,,True,"{""Nee Soon Town Council"": 173}","{""Nee Soon Town Council"": 759}",True
2020-06-14,172040729523346,Orchid Live Seafood Restaurant,orchidliveseafood,not_verified,4683,Seafood Restaurant,0,Singapore (4),False,https://mtouch.facebook.com/nt/screen/?params=%7B%22page_id%22%3A172040729523346%7D&path=%2Fpages%2Ftransparency,regular_page,,orchidliveseafood,235,False,0,False,2011-06-07,,,True,"{""Jason Chua Wei Siong"": 70}","{""Jason Chua Wei Siong"": 70}",True
2020-06-14,202216409941537,Cyclexafe,,not_verified,4468,Bicycle shop,0,"Singapore (1), United States (1)",False,https://mtouch.facebook.com/nt/screen/?params=%7B%22page_id%22%3A202216409941537%7D&path=%2Fpages%2Ftransparency,regular_page,,,,,0,False,2013-08-10,,,True,"{""Seah Kim Hong (She Jinfeng)"": 70}","{""Seah Kim Hong (She Jinfeng)"": 216}",True
